Date,Open,High,Low,Close,Adj Close,Volume
2018-12-31,209.89,214.18,206.68,209.43,209.43,809300
2019-01-02,205.32,207.16,200.54,202.12,202.12,1126800
2019-01-03,200.03,200.77,183.62,184.78,184.78,2414200
2019-01-04,181.68,190.39,177.93,186.71,186.71,2518200
2019-01-07,187.41,190.77,184.51,189.92,189.92,1311200
2019-01-08,191.35,194.99,187.59,192.95,192.95,1001500
2019-01-09,194.26,207.0,194.26,200.32,200.32,1666300
2019-01-10,198.99,205.99,194.12,202.64,202.64,1247500
2019-01-11,201.6,201.6,195.63,198.25,198.25,1084800
2019-01-14,196.54,198.34,193.23,193.94,193.94,1816900
2019-01-15,194.9,197.5,191.93,195.05,195.05,1927600
2019-01-16,197.07,208.51,195.38,206.79,206.79,2213800
2019-01-17,206.87,215.85,206.78,212.67,212.67,1798700
2019-01-18,216.0,223.6,212.89,220.09,220.09,2433200
2019-01-22,220.68,221.65,213.9,216.16,216.16,1107900
2019-01-23,217.0,221.21,215.14,217.22,217.22,1111000
2019-01-24,218.25,224.08,218.25,220.67,220.67,970000
2019-01-25,222.61,228.97,221.48,227.22,227.22,1344100
2019-01-28,224.5,225.92,220.15,221.49,221.49,1421200
2019-01-29,222.16,223.84,216.52,222.03,222.03,1928000
2019-01-30,208.74,234.44,207.99,232.83,232.83,4375400
2019-01-31,233.57,249.24,231.76,248.95,248.95,3182600
2019-02-01,248.08,248.75,239.0,244.0,244.0,1569900
2019-02-04,243.91,245.23,239.7,244.54,244.54,943900
2019-02-05,241.85,246.2,241.42,243.51,243.51,1175700
2019-02-06,244.0,246.46,240.7,244.04,244.04,988000
2019-02-07,241.89,244.55,238.26,239.45,239.45,904500
2019-02-08,236.78,241.41,234.23,241.26,241.26,831200
2019-02-11,242.86,247.54,242.07,244.57,244.57,873500
2019-02-12,246.8,256.77,246.36,254.32,254.32,1601100
2019-02-13,256.99,259.93,248.84,251.85,251.85,1137700
2019-02-14,247.04,252.91,246.47,250.75,250.75,1120700
2019-02-15,253.04,255.68,251.39,254.96,254.96,851700
2019-02-19,254.96,257.59,254.01,255.24,255.24,830300
2019-02-20,255.23,256.49,250.91,253.79,253.79,1191300
2019-02-21,252.98,252.98,247.46,250.23,250.23,1073900
2019-02-22,251.52,254.24,248.85,253.99,253.99,803100
2019-02-25,255.52,263.64,255.52,262.35,262.35,1442100
2019-02-26,261.13,262.35,256.33,259.79,259.79,1298700
2019-02-27,258.23,262.16,257.29,258.25,258.25,1182200
2019-02-28,258.08,259.75,254.55,258.97,258.97,1076500
2019-03-01,261.24,264.46,258.96,263.35,263.35,1417400
2019-03-04,264.37,266.21,252.3,256.31,256.31,1930200
2019-03-05,244.94,244.94,233.9,239.22,239.22,3432900
2019-03-06,237.79,240.5,229.62,231.45,231.45,2318500
2019-03-07,231.0,233.08,227.26,230.75,230.75,1645200
2019-03-08,228.64,231.73,224.58,230.84,230.84,1357800
